"filename","method","mintreeheight","crowndiameter","time"
"1","Maxima5_5_dalponte2016.shp","dalponte2016","5","5","3.89647603034973"
"2","Maxima5_7_dalponte2016.shp","dalponte2016","5","7","5.50929999351501"
"3","Maxima5_10_dalponte2016.shp","dalponte2016","5","10","6.07957196235657"
"4","Maxima5_15_dalponte2016.shp","dalponte2016","5","15","6.15679597854614"
"5","Maxima5_20_dalponte2016.shp","dalponte2016","5","20","6.2005660533905"
"6","Maxima5_25_dalponte2016.shp","dalponte2016","5","25","6.87560796737671"
"7","Maxima6_5_dalponte2016.shp","dalponte2016","6","5","4.99979090690613"
"8","Maxima6_7_dalponte2016.shp","dalponte2016","6","7","6.2981538772583"
"9","Maxima6_10_dalponte2016.shp","dalponte2016","6","10","6.15825986862183"
"10","Maxima6_15_dalponte2016.shp","dalponte2016","6","15","6.31380009651184"
"11","Maxima6_20_dalponte2016.shp","dalponte2016","6","20","6.07418513298035"
"12","Maxima6_25_dalponte2016.shp","dalponte2016","6","25","6.12198209762573"
"13","Maxima7_5_dalponte2016.shp","dalponte2016","7","5","4.06829500198364"
"14","Maxima7_7_dalponte2016.shp","dalponte2016","7","7","5.44970297813416"
"15","Maxima7_10_dalponte2016.shp","dalponte2016","7","10","6.66315889358521"
"16","Maxima7_15_dalponte2016.shp","dalponte2016","7","15","6.13456892967224"
"17","Maxima7_20_dalponte2016.shp","dalponte2016","7","20","6.30051398277283"
"18","Maxima7_25_dalponte2016.shp","dalponte2016","7","25","6.15614008903503"
"19","Maxima8_5_dalponte2016.shp","dalponte2016","8","5","4.06848001480103"
"20","Maxima8_7_dalponte2016.shp","dalponte2016","8","7","5.53799390792847"
"21","Maxima8_10_dalponte2016.shp","dalponte2016","8","10","5.99814891815186"
"22","Maxima8_15_dalponte2016.shp","dalponte2016","8","15","6.27040195465088"
"23","Maxima8_20_dalponte2016.shp","dalponte2016","8","20","6.80385398864746"
"24","Maxima8_25_dalponte2016.shp","dalponte2016","8","25","6.53472018241882"
"25","Maxima9_5_dalponte2016.shp","dalponte2016","9","5","4.09121084213257"
"26","Maxima9_7_dalponte2016.shp","dalponte2016","9","7","5.60487484931946"
"27","Maxima9_10_dalponte2016.shp","dalponte2016","9","10","6.16019701957703"
"28","Maxima9_15_dalponte2016.shp","dalponte2016","9","15","6.04057288169861"
"29","Maxima9_20_dalponte2016.shp","dalponte2016","9","20","6.31024718284607"
"30","Maxima9_25_dalponte2016.shp","dalponte2016","9","25","6.12313604354858"
"31","Maxima10_5_dalponte2016.shp","dalponte2016","10","5","4.09020709991455"
"32","Maxima10_7_dalponte2016.shp","dalponte2016","10","7","5.51426601409912"
"33","Maxima10_10_dalponte2016.shp","dalponte2016","10","10","5.97990798950195"
"34","Maxima10_15_dalponte2016.shp","dalponte2016","10","15","6.15143585205078"
"35","Maxima10_20_dalponte2016.shp","dalponte2016","10","20","6.16835808753967"
"36","Maxima10_25_dalponte2016.shp","dalponte2016","10","25","6.69700503349304"
"37","extra5_watershed.shp","watershed","5",NA,"0.238138914108276"
"38","extra6_watershed.shp","watershed","6",NA,"0.253335952758789"
"39","extra7_watershed.shp","watershed","7",NA,"0.302139043807983"
"40","extra8_watershed.shp","watershed","8",NA,"0.325176954269409"
"41","extra9_watershed.shp","watershed","9",NA,"0.269045114517212"
"42","extra10_watershed.shp","watershed","10",NA,"0.265653133392334"
